deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments,trap_nights,raw_label,cam_label,treatment
9745f3c6-b6a2-4d9b-8fba-9e29407b28b0,ab25b45d-ee78-4d8f-9477-e74862212d07,Bwindi - F12 (103),-1.091511,29.80931,NA,2026-02-25T11:41:46Z,2026-03-04T21:15:28Z,NA,58489fd3-72ec-4f21-8370-8b3d0731b8ac,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.398402777777778,F12 (103),F12,Roadside
9c304640-c022-44f4-9761-db71af3515d5,cb6e7f04-160a-4d28-bb27-174bfa3ac704,Bwindi - C03,-1.071353,29.80508,NA,2026-02-07T10:23:18Z,2026-03-19T09:43:41Z,NA,ffc7b8f3-75a3-4a32-8a69-e19fbf52312b,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C03,39.972488425925924,C03,C03,Interior
9e6cfd78-c079-412f-af13-be8b3c4151e0,bd0c21c9-aecd-497f-a5c7-5626217e715a,Bwindi - F14 (104),-1.096807,29.805013,NA,2026-03-04T07:55:01Z,2026-03-14T09:15:37Z,NA,bcf9adb7-83b2-496f-a67d-00a7e7ceead8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.055972222222222,F14 (104),F14,Roadside
a3781120-8246-46f1-b114-3ed223d68b83,94bd9abe-a3d9-4617-8e8f-0525ab7a97a1,Bwindi - F15 (105),-1.097717,29.807793,NA,2026-03-10T13:46:23Z,2026-03-14T10:31:44Z,NA,29f92959-24b9-4f09-8e41-a4d72a9e0ac7,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.864826388888889,F15 (105),F15,Roadside
a669f33f-a122-4d01-9ac2-eea2ed5419dd,9eff1fa7-efbc-4136-bde7-d87024f735d4,Bwindi - F14 (101),-1.096807,29.805013,NA,2026-02-02T13:20:38Z,2026-02-11T14:16:30Z,NA,bcf9adb7-83b2-496f-a67d-00a7e7ceead8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,9.038796296296296,F14 (101),F14,Roadside
af18f95d-2346-43ce-986a-d816832b9997,137f3e0a-da11-4c39-8b84-3a32e65449fd,Bwindi - F17 (102),-1.100515,29.811725,NA,2026-02-11T10:43:06Z,2026-02-19T19:24:06Z,NA,06aed461-4063-4ff3-be18-13f31751fa9f,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.361805555555556,F17 (102),F17,Roadside
afcca92b-dffb-4b50-a3cb-6695264e044c,a78e397b-5cb0-45a8-8af0-5e8b89fb7cd2,Bwindi - C05,-1.062826,29.776793,NA,2026-02-05T09:11:05Z,2026-03-17T08:52:16Z,NA,e1067c36-f392-4ca9-893a-1bc5e67103f3,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C05,39.98693287037037,C05,C05,Interior
b22bebfe-a076-4f6a-8f34-4a8b7068418b,abba6e06-5f66-4bf2-a7a1-186b94fd4a22,Bwindi - F01,-1.053492,29.779081,NA,2026-02-02T08:46:04Z,2026-03-14T08:29:41Z,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F01,39.988622685185184,F01,F01,Roadside
bdd39db7-6e48-41ca-9a4b-0e9d834a7d0f,9320a541-0a06-4ad2-b1e9-47bbb0b6d3ad,Bwindi - C08,-1.070238,29.7810169,NA,2026-02-05T11:18:34Z,2026-03-17T10:06:13Z,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.949756944444445,C08,C08,Interior
c083fc25-275f-4c81-aa53-b373a3cf90b4,03a96848-e86c-45b9-a0d0-ca17e30a7dae,Bwindi - F18 (104),-1.101838,29.807666,NA,2026-03-09T11:21:53Z,2026-03-14T10:52:40Z,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.979710648148148,F18 (104),F18,Roadside
c3548e48-d55e-4d29-9bf2-fc65abf138bc,a7e028fe-363e-4cd4-b205-71b4eb86915f,Bwindi - F12 (101),-1.091511,29.80931,NA,2026-02-11T06:34:05Z,2026-02-16T13:21:45Z,NA,58489fd3-72ec-4f21-8370-8b3d0731b8ac,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,******* F12 101 - upload ************,5.2831018518518515,F12 (101),F12,Roadside
